Name,Age,Location,Device Usage Log,Voice Command,Security Footage Description,Home Automation Setting,Network Information,Customer Service Interaction
James Rodriguez,36,"Lake Kevinside, Fiji","{'device': 'Smart Light', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 05:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '196.188.13.31', 'Wifi_network': 'prove', 'Device_ID': '932526ea-417a-46e0-b202-3b69beb42b79'}",Can I add multiple users?
Faith Schneider,63,"Scottbury, Argentina","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 01:44:52', 'usage_end': '2023-10-27 12:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 18:44:52', 'activity': None}",,"{'IP_address': '184.161.191.91', 'Wifi_network': 'land', 'Device_ID': '0eaf4b90-9e8b-43b3-9e3d-0674ab8f1802'}",The device is making a strange noise
Margaret Brown,24,"East Ann, Nicaragua","{'device': 'Smart Lock', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 09:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '138.30.96.207', 'Wifi_network': 'politics', 'Device_ID': 'a83613fa-3d29-45a1-b618-d7a5204ea6e3'}",
Ryan Cochran,24,"Dennisbury, Swaziland","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-28 03:44:52'}",Turn off the living room light,"{'time': '2023-10-27 21:44:52', 'activity': None}",,"{'IP_address': '164.60.12.196', 'Wifi_network': 'to', 'Device_ID': '9e02fe55-697f-47d0-93cc-15e09c7d7657'}",The device is making a strange noise
Rachel Sandoval,30,"Bentonstad, Martinique","{'device': 'Smart Light', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '154.97.140.29', 'Wifi_network': 'hundred', 'Device_ID': '6059927a-e62f-4136-851d-1f3988295b48'}",Device not responding
Lisa Small,56,"Meganborough, Pakistan","{'device': 'Smart Lock', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '196.225.91.240', 'Wifi_network': 'interesting', 'Device_ID': '8e11ddc9-504c-4455-b2ad-5bd7e44d48e4'}",The device is making a strange noise
Melissa Robinson,51,"West Dominicside, El Salvador","{'device': 'Smart Light', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '176.10.147.53', 'Wifi_network': 'among', 'Device_ID': 'f48b3510-a06e-458f-9c87-4fdf90dc1c87'}",
Erin Phillips,27,"New John, Grenada","{'device': 'Security Camera', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 05:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '1.248.51.191', 'Wifi_network': 'detail', 'Device_ID': '407fa0cc-e74a-4e42-a9cb-1bb335ae0e67'}",How do I set up voice recognition?
Brent Griffin,69,"Oscarstad, Mongolia","{'device': 'Smart Light', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '36.10.243.137', 'Wifi_network': 'sit', 'Device_ID': '0c97950c-e372-4de6-97ab-3d3414b5cfd7'}",
Drew Velazquez,30,"Graymouth, British Indian Ocean Territory (Chagos Archipelago)","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 15:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 12:44:52', 'activity': None}",,"{'IP_address': '133.137.188.62', 'Wifi_network': 'ask', 'Device_ID': '469d8064-4b11-457d-8383-d745ac3e5517'}",
Troy Erickson,20,"West Kellymouth, Moldova","{'device': 'Smart Light', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '51.48.48.6', 'Wifi_network': 'various', 'Device_ID': '1712af31-c7c4-4bea-8ac8-64364dc5883f'}",
Dakota Miller,20,"Port Christinaberg, Netherlands","{'device': 'Thermostat', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '6.29.33.99', 'Wifi_network': 'prove', 'Device_ID': '2175d080-e7d2-40ca-af19-15b63aee18a0'}",
Bryce Garcia,24,"East Eileenshire, Cuba","{'device': 'Security Camera', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '141.95.144.124', 'Wifi_network': 'side', 'Device_ID': '6b0cf0a5-fa2c-4a15-8ce2-ca1408cd2f84'}",
Mrs. Kathy Gonzalez,29,"Kellyview, Faroe Islands","{'device': 'Thermostat', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-28 05:44:52'}",,"{'time': '2023-10-28 03:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '1.138.178.13', 'Wifi_network': 'product', 'Device_ID': '76948066-1abe-4fd1-965e-59ce1039ccea'}",
Dakota Hogan,62,"South Donaldhaven, Timor-Leste","{'device': 'Security Camera', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '73.243.228.173', 'Wifi_network': 'politics', 'Device_ID': '1ca030c0-5696-4b04-9bd0-179cc10a4dd6'}",
Jose Drake,61,"Lake Audrey, Rwanda","{'device': 'Security Camera', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '90.178.32.90', 'Wifi_network': 'last', 'Device_ID': '285470b2-ef46-4475-9b15-047ef7a6c909'}",
Greg King II,50,"New Ericamouth, Sweden","{'device': 'Thermostat', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-28 05:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '72.104.178.54', 'Wifi_network': 'feel', 'Device_ID': 'f675532a-7ebc-47cf-b392-c73b58508446'}",The device is making a strange noise
Daniel Walker,65,"East Robin, Gibraltar","{'device': 'Smart Light', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '146.247.235.110', 'Wifi_network': 'hand', 'Device_ID': '19993d87-3468-4402-b9de-d598f095a9b1'}",How do I set up voice recognition?
Morgan Flores,63,"Johntown, French Guiana","{'device': 'Security Camera', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-28 05:44:52', 'activity': 'Window broken'}",,"{'IP_address': '32.89.161.47', 'Wifi_network': 'word', 'Device_ID': 'bd0105dd-d078-4a0e-8130-2b90ba6d3c56'}",
Mallory Myers,27,"Johnsonfort, Macao","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 01:44:52', 'usage_end': '2023-10-27 06:44:52'}",What’s the weather?,"{'time': '2023-10-28 04:44:52', 'activity': None}",,"{'IP_address': '116.166.221.147', 'Wifi_network': 'box', 'Device_ID': 'ff1d32fa-262a-46c5-bfdf-1ed1b10e62e9'}",
Mike Reid,69,"East Misty, Monaco","{'device': 'Security Camera', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 19:44:52'}",,"{'time': '2023-10-27 06:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '162.158.70.21', 'Wifi_network': 'accept', 'Device_ID': 'f50af63c-64f2-49d8-aca8-41dad1f9e9a0'}",Device not responding
Jacqueline Watkins,23,"Port Jerry, Norway","{'device': 'Smart Light', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '98.82.64.127', 'Wifi_network': 'age', 'Device_ID': '3d073bba-91fe-42f6-9ca9-39ad84bd9d72'}",The device is making a strange noise
Jeffrey Anderson,74,"Lake Luisfurt, Monaco","{'device': 'Smart Lock', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 07:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '38.58.223.17', 'Wifi_network': 'along', 'Device_ID': 'dd6b2acc-7975-443f-be68-2843b5e53f79'}",
Adam Allen,71,"Tinaville, Saint Lucia","{'device': 'Thermostat', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '137.25.35.23', 'Wifi_network': 'full', 'Device_ID': '909574af-10c8-41d6-959f-672fcd9b3131'}",Can I add multiple users?
Richard Morris,29,"Karenburgh, Colombia","{'device': 'Smart Lock', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 18:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '41.221.206.101', 'Wifi_network': 'audience', 'Device_ID': '07cd4be7-c50c-443c-9b3f-2a2210852b09'}",
Luis Contreras,23,"Bankshaven, Swaziland","{'device': 'Smart Light', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '56.86.247.50', 'Wifi_network': 'floor', 'Device_ID': '11e7d558-8745-45fe-871e-87763c775280'}",
Alexandria Spencer,62,"Lake Aliceberg, Denmark","{'device': 'Smart Light', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 18:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '117.249.53.0', 'Wifi_network': 'tax', 'Device_ID': '11a6393e-abb5-4cf5-942d-6210969e5f08'}",How do I set up voice recognition?
Gerald Cox,30,"Lisamouth, Argentina","{'device': 'Security Camera', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 12:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '160.53.45.87', 'Wifi_network': 'big', 'Device_ID': '9548d5ea-ffd6-40b7-a4f0-4a8fc0fcb7c7'}",
Dawn Allen,71,"South Brian, Bulgaria","{'device': 'Security Camera', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '110.8.132.207', 'Wifi_network': 'defense', 'Device_ID': '2bd2217c-44cd-4249-9986-32f82ef612d6'}",Can I add multiple users?
Robin Williams,42,"Greenchester, Cote d'Ivoire","{'device': 'Smart Light', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 19:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '173.178.89.85', 'Wifi_network': 'top', 'Device_ID': 'c0291f60-21e8-4b2b-aa90-3d86cc6186df'}",How do I set up voice recognition?
Rachel Kramer,69,"Lake Kimberly, France","{'device': 'Smart Lock', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '56.176.47.98', 'Wifi_network': 'night', 'Device_ID': 'f0d054a4-7d4a-4961-8005-ddd2901b2929'}",Can I add multiple users?
Erica Boyer,21,"Colonborough, Haiti","{'device': 'Security Camera', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': 'Window broken'}",,"{'IP_address': '4.30.94.147', 'Wifi_network': 'case', 'Device_ID': '458c0e8d-33ee-40a0-98c5-fa55896fc9b1'}",Can I add multiple users?
Marissa Carson,53,"Jamesland, Cyprus","{'device': 'Security Camera', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 22:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '8.151.179.251', 'Wifi_network': 'operation', 'Device_ID': '4caa628f-41ec-4047-b5bb-76f49a7931ab'}",Device not responding
