Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
Thomas Chavez,53,"Debbieshire, American Samoa",Male,3693.13,90837.08,0.0,995.09,Fixed Deposits,Tax Planning,Tax Savings,Not Implemented,Unsatisfied,Unsatisfied,High
Shirley Rivera,47,"North Carrieberg, Sao Tome and Principe",Non-binary,6232.54,86652.64,0.0,3463.99,Mutual Funds,Savings Plan,Debt Reduction,Seeking Further Consultation,Neutral,Satisfied,Low
Mary Carr,39,"Stuartmouth, Lithuania",Non-binary,3295.28,15093.66,4071.98,1957.7,Real Estate,Tax Planning,Debt Reduction,Not Implemented,Satisfied,Neutral,Moderate
Jesse Dean,28,"Jeanberg, Suriname",Male,9400.56,13923.13,478.45,3277.38,Real Estate,Tax Planning,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Satisfied,Moderate
Mandy Whitehead,60,"Jamesborough, Kazakhstan",Female,2456.88,55763.15,0.0,2039.07,Bonds,Debt Management,Tax Savings,Implemented,Neutral,Neutral,Low
Andrea Young,32,"West Kristenside, Algeria",Male,3978.23,29301.95,4983.95,4202.71,Mutual Funds,Savings Plan,High ROI Investments,Implemented,Neutral,Satisfied,High
Jason Gallagher Jr.,24,"Lukefurt, Brazil",Non-binary,7088.73,57211.35,2282.82,604.94,Cryptocurrency,Investment Strategy,Retirement Fund Building,Seeking Further Consultation,Neutral,Unsatisfied,Moderate
Mr. Ronald Villegas,18,"West John, Singapore",Male,5975.42,24643.3,0.0,1433.62,Stocks,Debt Management,Debt Reduction,Partially Implemented,Unsatisfied,Unsatisfied,Low
Marissa Coleman,18,"Davisport, San Marino",Male,4006.42,76564.99,0.0,3385.17,Cryptocurrency,Tax Planning,Debt Reduction,Not Implemented,Satisfied,Neutral,Moderate
Paula Williams,31,"Alyssaport, Albania",Female,5423.99,80124.2,0.0,1711.66,Mutual Funds,Investment Strategy,Retirement Fund Building,Seeking Further Consultation,Satisfied,Very Unsatisfied,Low
Stephanie Todd,67,"Lake Sharon, Brunei Darussalam",Non-binary,4842.53,79924.24,1359.94,3565.8,Gold,Debt Management,High ROI Investments,Implemented,Satisfied,Very Satisfied,High
Carl Castillo,52,"Victoriamouth, Philippines",Non-binary,5609.05,82676.46,4674.83,2619.88,Mutual Funds,Debt Management,Increase Savings,Implemented,Very Satisfied,Satisfied,Low
Brian Moore,25,"Ebonymouth, Jamaica",Female,8975.52,99921.61,4245.82,2130.58,Bonds,Retirement Planning,Retirement Fund Building,Not Implemented,Neutral,Very Unsatisfied,Low
Tina Compton,25,"Crawfordbury, Kazakhstan",Female,2863.02,41915.96,0.0,2560.23,Real Estate,Debt Management,Increase Savings,Seeking Further Consultation,Unsatisfied,Neutral,Low
Jessica Sutton,58,"Lake Victoriaborough, Malaysia",Non-binary,3662.15,36772.39,1378.9,2529.67,Fixed Deposits,Savings Plan,High ROI Investments,Seeking Further Consultation,Unsatisfied,Unsatisfied,Moderate
Anna Garcia,23,"West Hayleyland, El Salvador",Male,9619.76,85759.29,2877.03,945.88,Real Estate,Investment Strategy,Tax Savings,Seeking Further Consultation,Unsatisfied,Neutral,Moderate
Judy Snow,30,"West Randy, Serbia",Female,8820.06,14317.99,3356.35,4185.04,Mutual Funds,Investment Strategy,Tax Savings,Partially Implemented,Neutral,Satisfied,Low
Anita Fleming,45,"Pittmanstad, Liberia",Female,4807.82,37066.02,108.23,2867.73,Stocks,Savings Plan,Debt Reduction,Not Implemented,Unsatisfied,Neutral,High
Joseph Davis PhD,38,"Williamfort, Dominica",Non-binary,2030.35,35799.29,3236.26,3459.67,Real Estate,Tax Planning,Debt Reduction,Seeking Further Consultation,Satisfied,Unsatisfied,Low
Megan Ramirez,32,"New Valerie, Haiti",Male,6268.98,10436.94,2279.64,2617.43,Cryptocurrency,Tax Planning,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Neutral,High
Lucas Wong,26,"Cynthiamouth, Uzbekistan",Male,2372.7,96432.95,0.0,3462.52,Mutual Funds,Investment Strategy,High ROI Investments,Implemented,Very Satisfied,Very Unsatisfied,Moderate
Andrew Vega,20,"Amyberg, Guatemala",Female,8690.2,89875.54,0.0,4787.61,Fixed Deposits,Savings Plan,High ROI Investments,Partially Implemented,Very Unsatisfied,Very Satisfied,High
Tonya Stewart,21,"New Jon, Cocos (Keeling) Islands",Female,7919.32,77806.15,0.0,3172.67,Mutual Funds,Tax Planning,Retirement Fund Building,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,Low
Robert Lewis,42,"Lake Jeffreyhaven, Costa Rica",Non-binary,6036.39,64786.43,2424.26,4344.97,Cryptocurrency,Investment Strategy,Increase Savings,Not Implemented,Very Unsatisfied,Unsatisfied,High
Thomas Olson,56,"East George, Brazil",Non-binary,2149.49,19073.97,0.0,3551.61,Fixed Deposits,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Low
Michael Harrison,19,"Geraldland, Jordan",Male,7596.94,8198.1,0.0,595.05,Real Estate,Tax Planning,High ROI Investments,Not Implemented,Very Unsatisfied,Very Satisfied,Low
Lisa Baker,24,"Kingberg, Mali",Non-binary,2622.92,77389.82,168.94,854.54,Fixed Deposits,Savings Plan,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,Low
Nathan Rosales,27,"West Bryan, Libyan Arab Jamahiriya",Female,6575.83,93168.73,0.0,2273.44,Fixed Deposits,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Unsatisfied,Moderate
Thomas Hill,19,"Hannahfurt, Saint Kitts and Nevis",Non-binary,4043.74,54834.73,3367.7,1380.19,Bonds,Debt Management,Debt Reduction,Implemented,Unsatisfied,Unsatisfied,Low
Tammy Lyons,34,"Meyerhaven, Norfolk Island",Non-binary,5095.88,51482.85,4946.36,4994.32,Bonds,Retirement Planning,High ROI Investments,Implemented,Satisfied,Unsatisfied,Moderate
Carla Rice,35,"Port Omar, Marshall Islands",Non-binary,7667.61,21255.08,0.0,3088.39,Mutual Funds,Retirement Planning,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,Low
Gary Dawson,36,"East Zachary, Cape Verde",Female,3142.05,63397.69,0.0,2761.02,Stocks,Tax Planning,Tax Savings,Not Implemented,Satisfied,Satisfied,Moderate
Angela Garcia,28,"Port Danny, Mayotte",Non-binary,2389.81,18113.24,0.0,1497.76,Real Estate,Investment Strategy,Debt Reduction,Partially Implemented,Satisfied,Neutral,High
Michelle Rodriguez,61,"Williamsfort, Belgium",Non-binary,8704.88,42460.08,0.0,4922.67,Cryptocurrency,Retirement Planning,Debt Reduction,Partially Implemented,Very Satisfied,Very Unsatisfied,Moderate
Jose Munoz,21,"Cookborough, Italy",Male,4210.41,67620.6,0.0,1351.42,Real Estate,Investment Strategy,Increase Savings,Partially Implemented,Satisfied,Very Unsatisfied,Low
Kelsey Wilson,27,"West Brianland, Bhutan",Non-binary,5932.93,33332.6,4393.19,4961.81,Gold,Debt Management,Retirement Fund Building,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
Kenneth Williams,56,"Hunterton, Mozambique",Female,2286.88,48385.91,1830.98,2549.65,Real Estate,Investment Strategy,Retirement Fund Building,Implemented,Satisfied,Unsatisfied,High
Jeffery Navarro,27,"North Henryview, Slovakia (Slovak Republic)",Male,9405.59,14285.59,159.78,4090.83,Real Estate,Savings Plan,Tax Savings,Partially Implemented,Very Satisfied,Very Unsatisfied,Moderate
Francisco Page,37,"Cartershire, North Macedonia",Non-binary,8940.32,53643.38,2787.26,4536.55,Bonds,Tax Planning,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,High
Veronica Griffin,40,"Margaretside, Taiwan",Female,2562.56,76962.96,0.0,3836.96,Fixed Deposits,Retirement Planning,Tax Savings,Not Implemented,Neutral,Satisfied,Low
Preston Smith,67,"North Tyler, Sudan",Male,5154.75,44896.88,0.0,2185.74,Gold,Retirement Planning,High ROI Investments,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
Heather Keith,48,"Ruizburgh, Honduras",Female,6693.86,31185.58,0.0,4924.4,Real Estate,Retirement Planning,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,Low
Eric Reid,44,"Lake Caleb, Isle of Man",Female,4039.36,93266.89,1247.98,2705.28,Gold,Debt Management,High ROI Investments,Not Implemented,Satisfied,Very Satisfied,High
Jennifer Burgess,43,"Millsfurt, Bouvet Island (Bouvetoya)",Non-binary,9292.45,19244.85,0.0,3082.12,Gold,Debt Management,Debt Reduction,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
Daniel Thomas,41,"Zacharytown, Wallis and Futuna",Non-binary,3018.78,58797.43,0.0,3797.74,Cryptocurrency,Tax Planning,Increase Savings,Seeking Further Consultation,Satisfied,Unsatisfied,Low
Bailey Morris,28,"North Wendyfort, Aruba",Female,5224.13,12616.96,0.0,4495.65,Fixed Deposits,Retirement Planning,Retirement Fund Building,Not Implemented,Neutral,Very Satisfied,Low
Rick Johnson,70,"North Richard, Grenada",Female,2394.04,11225.22,3275.79,4937.91,Cryptocurrency,Retirement Planning,High ROI Investments,Partially Implemented,Very Satisfied,Very Satisfied,Moderate
Olivia Stewart,33,"Lake Joshuamouth, Georgia",Female,3385.48,81972.51,3362.6,1792.79,Mutual Funds,Tax Planning,High ROI Investments,Seeking Further Consultation,Satisfied,Very Satisfied,High
Bernard Byrd,67,"Lake Ericafurt, Jamaica",Male,5816.23,56402.34,1273.83,665.67,Real Estate,Debt Management,Retirement Fund Building,Implemented,Satisfied,Neutral,High
Ian Wade,28,"Lake Raymond, Timor-Leste",Male,9513.45,33284.58,3406.99,4541.32,Bonds,Retirement Planning,Tax Savings,Partially Implemented,Very Satisfied,Unsatisfied,Low
Cory Cross,33,"Riveraside, Cape Verde",Female,7152.24,11373.67,1877.79,2149.04,Fixed Deposits,Savings Plan,Debt Reduction,Implemented,Very Satisfied,Unsatisfied,High
Jessica Kirby,42,"Markborough, Equatorial Guinea",Non-binary,6418.46,41600.1,0.0,4896.12,Mutual Funds,Tax Planning,Increase Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
Amy Byrd,68,"Cameronstad, Turkmenistan",Female,7575.83,15537.92,0.0,1215.52,Stocks,Retirement Planning,Debt Reduction,Partially Implemented,Neutral,Unsatisfied,High
Edward Petersen,26,"Dianeview, Italy",Male,4981.15,15049.64,1613.29,2495.34,Mutual Funds,Savings Plan,Tax Savings,Implemented,Unsatisfied,Very Satisfied,Moderate
Cathy Smith,66,"Mckayshire, Cambodia",Female,4129.33,92490.09,0.0,3920.0,Gold,Retirement Planning,Debt Reduction,Not Implemented,Neutral,Very Satisfied,High
Charles Mccarty,52,"West Marychester, Gambia",Female,3617.45,36812.05,0.0,1755.54,Bonds,Retirement Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
Erica Rodriguez,25,"Tiffanytown, Turkmenistan",Male,4155.24,78252.64,804.34,4901.07,Gold,Savings Plan,Increase Savings,Implemented,Very Satisfied,Unsatisfied,Moderate
Ashley Bird,56,"Carpenterberg, Tunisia",Male,8309.36,56349.4,2974.41,1798.72,Gold,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,Low
Shannon Bowman,46,"East Ambermouth, Kiribati",Female,5159.2,65191.28,0.0,4343.63,Stocks,Debt Management,Increase Savings,Not Implemented,Neutral,Neutral,Low
Gary Hendricks,31,"Adamshire, Turks and Caicos Islands",Female,6969.39,54653.58,0.0,3451.04,Stocks,Savings Plan,Debt Reduction,Seeking Further Consultation,Satisfied,Unsatisfied,Moderate
Dean Lopez,58,"North Amandashire, Costa Rica",Male,3453.33,97258.84,3099.36,2111.62,Fixed Deposits,Retirement Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,Moderate
Alex Cabrera,47,"East Jason, San Marino",Male,9889.54,33914.27,974.14,2073.5,Mutual Funds,Debt Management,Increase Savings,Implemented,Unsatisfied,Very Satisfied,Low
Victor Brown,52,"New Lisamouth, Norfolk Island",Female,2053.47,69183.88,2701.57,3601.17,Mutual Funds,Investment Strategy,Tax Savings,Partially Implemented,Neutral,Very Unsatisfied,Moderate
Julie Burke,33,"South Jessicaport, United Arab Emirates",Male,7790.57,21456.01,0.0,1896.69,Bonds,Savings Plan,Retirement Fund Building,Implemented,Unsatisfied,Neutral,Moderate
Michael Santos,21,"North Markfurt, Congo",Female,4815.78,90472.16,360.46,1933.85,Bonds,Tax Planning,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Low
Tara Brown,63,"Wardport, Gambia",Male,5411.7,78816.37,0.0,4163.77,Fixed Deposits,Retirement Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Neutral,Moderate
Joyce Sanchez,52,"Parsonstown, Martinique",Female,8665.02,24414.83,756.29,4556.36,Fixed Deposits,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,Low
Lauren Johnson,67,"South Jesus, Mali",Male,7698.2,45666.81,0.0,984.57,Gold,Savings Plan,High ROI Investments,Implemented,Unsatisfied,Unsatisfied,Moderate
Stephanie Sanchez,46,"Wiseville, Lithuania",Male,6999.42,51550.97,1599.86,3145.26,Fixed Deposits,Tax Planning,Retirement Fund Building,Implemented,Satisfied,Satisfied,High
Wendy King,65,"Hendricksborough, Bulgaria",Female,8977.71,77655.84,0.0,4230.96,Stocks,Retirement Planning,High ROI Investments,Implemented,Satisfied,Neutral,Low
Patrick Wood,36,"East Barbarachester, Serbia",Male,5791.34,50231.96,0.0,4605.37,Real Estate,Debt Management,Tax Savings,Partially Implemented,Unsatisfied,Satisfied,Low
Douglas Jones,48,"Williamsmouth, Greece",Male,6259.4,51811.8,0.0,4968.96,Real Estate,Tax Planning,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,Low
James Johnson,47,"Andersenbury, Trinidad and Tobago",Non-binary,3024.32,20974.15,4657.84,4685.46,Mutual Funds,Retirement Planning,Tax Savings,Partially Implemented,Very Satisfied,Very Satisfied,Low
Douglas Johnston,26,"North Justin, Comoros",Non-binary,2441.09,76927.03,151.6,3286.98,Mutual Funds,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,Moderate
Brandon Wright,38,"Phelpsville, Hungary",Non-binary,8736.2,97175.17,0.0,4892.89,Fixed Deposits,Debt Management,Increase Savings,Implemented,Very Unsatisfied,Very Unsatisfied,High
Brittany Lowe,29,"New Stephenport, Senegal",Non-binary,5494.71,44859.86,3591.11,2832.55,Real Estate,Investment Strategy,Retirement Fund Building,Implemented,Satisfied,Neutral,Low
Logan Brown,63,"Port Michael, Togo",Male,4706.93,14026.07,0.0,1516.28,Mutual Funds,Retirement Planning,High ROI Investments,Partially Implemented,Satisfied,Unsatisfied,High
Nancy Francis,56,"Mendozaland, Poland",Male,8827.14,66675.5,2633.05,1037.34,Fixed Deposits,Savings Plan,High ROI Investments,Implemented,Very Unsatisfied,Unsatisfied,High
Lisa Rodriguez,46,"Calhounport, Pakistan",Non-binary,4439.55,67301.44,0.0,4043.55,Mutual Funds,Investment Strategy,Tax Savings,Not Implemented,Satisfied,Satisfied,Low
Aaron Anderson,58,"North Angelica, Belize",Male,5481.53,38343.77,0.0,802.23,Bonds,Tax Planning,Debt Reduction,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Low
Misty Byrd,20,"Christophertown, Lebanon",Female,6201.5,93950.56,0.0,3639.74,Bonds,Retirement Planning,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
Colleen Davis,34,"Baileytown, Poland",Male,5658.58,91183.45,0.0,3931.93,Stocks,Savings Plan,High ROI Investments,Not Implemented,Satisfied,Unsatisfied,Low
Elizabeth Wells,66,"Port Justin, Switzerland",Male,9486.41,47867.96,0.0,3653.76,Real Estate,Debt Management,Tax Savings,Partially Implemented,Unsatisfied,Very Unsatisfied,High
Dr. Nancy Anderson,31,"New Adriana, Haiti",Female,5434.02,33513.49,0.0,1103.53,Gold,Tax Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Satisfied,Low
David Daniel,64,"Lake Georgeton, Pakistan",Male,5735.0,48717.86,0.0,3850.42,Mutual Funds,Retirement Planning,Increase Savings,Partially Implemented,Satisfied,Very Satisfied,Low
Zachary Mcconnell,47,"New Melindachester, Antarctica (the territory South of 60 deg S)",Non-binary,4629.61,37496.13,1510.21,2115.94,Real Estate,Tax Planning,Tax Savings,Seeking Further Consultation,Neutral,Very Satisfied,High
Daniel Henderson,59,"Grahamberg, Ukraine",Male,8687.89,44718.27,0.0,1661.21,Mutual Funds,Savings Plan,Increase Savings,Partially Implemented,Neutral,Neutral,Moderate
Jason Thompson,61,"Lake Marilynview, Luxembourg",Female,8196.85,86725.11,2005.28,4220.55,Stocks,Debt Management,Debt Reduction,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
James Cabrera,41,"Adamsfort, United States Minor Outlying Islands",Non-binary,9900.95,21607.11,0.0,3312.37,Mutual Funds,Investment Strategy,Tax Savings,Implemented,Very Satisfied,Very Satisfied,Low
Peggy Edwards,38,"Jordanberg, Swaziland",Non-binary,5267.68,62266.49,0.0,4126.78,Stocks,Retirement Planning,Increase Savings,Implemented,Neutral,Unsatisfied,Low
Emily Lyons,33,"East Shelby, Luxembourg",Female,9478.48,21128.28,0.0,3307.9,Gold,Debt Management,Debt Reduction,Implemented,Satisfied,Unsatisfied,Moderate
Michael Martinez MD,65,"Robertsport, Philippines",Female,8673.1,40318.38,1464.6,793.56,Stocks,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Satisfied,Unsatisfied,Moderate
James Hall,25,"Port Isaiah, Guinea",Male,5004.44,39053.63,4081.05,1959.82,Fixed Deposits,Debt Management,High ROI Investments,Seeking Further Consultation,Satisfied,Satisfied,Moderate
Melissa Hicks,38,"Lake Brandon, British Indian Ocean Territory (Chagos Archipelago)",Female,5735.47,20553.34,99.41,2033.15,Bonds,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
Ronald Mcdonald,24,"Stephensshire, Cayman Islands",Non-binary,9352.96,50607.14,4522.33,1898.87,Fixed Deposits,Tax Planning,High ROI Investments,Partially Implemented,Very Satisfied,Neutral,Low
Zachary Carr,33,"Kristyton, Christmas Island",Female,2198.33,6885.57,0.0,4405.0,Stocks,Tax Planning,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
Stacey Edwards,62,"Amandaton, Cocos (Keeling) Islands",Female,3334.89,26288.25,0.0,2307.09,Bonds,Tax Planning,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Satisfied,Moderate
Peter Anderson,35,"New Kathleenland, Gabon",Female,8699.09,21448.45,4791.1,4507.61,Mutual Funds,Investment Strategy,High ROI Investments,Partially Implemented,Unsatisfied,Neutral,High
Larry Sanchez,38,"North Joshuaville, Ethiopia",Female,9965.38,84620.48,4322.87,3949.03,Fixed Deposits,Debt Management,Debt Reduction,Implemented,Very Satisfied,Very Satisfied,Low
David Porter,20,"Kyliefurt, Tajikistan",Female,7195.77,87798.67,1073.52,2343.34,Fixed Deposits,Investment Strategy,Retirement Fund Building,Partially Implemented,Satisfied,Satisfied,Low
Mark Patton,40,"West Danielle, Montserrat",Male,8822.27,95902.08,0.0,3736.39,Stocks,Retirement Planning,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,Low
Ruth Larson,23,"Lake Angela, Mongolia",Male,7349.65,57344.15,0.0,2056.92,Cryptocurrency,Tax Planning,Retirement Fund Building,Implemented,Neutral,Unsatisfied,High
Jeanne Castillo,45,"West Henry, Maldives",Male,9054.31,58254.75,0.0,3431.43,Cryptocurrency,Savings Plan,Tax Savings,Not Implemented,Neutral,Satisfied,High
William Robles,30,"Simmonsberg, North Macedonia",Female,4728.32,82802.89,0.0,4506.53,Real Estate,Tax Planning,High ROI Investments,Partially Implemented,Neutral,Unsatisfied,Moderate
Dillon Howe,40,"New Michael, New Caledonia",Male,7381.99,50594.29,0.0,3072.33,Fixed Deposits,Tax Planning,Tax Savings,Not Implemented,Unsatisfied,Neutral,Low
Audrey Hutchinson,44,"West Jerry, Paraguay",Non-binary,7493.28,10297.84,40.25,510.05,Cryptocurrency,Tax Planning,Debt Reduction,Not Implemented,Neutral,Unsatisfied,High
Hannah Fowler,35,"Josephstad, Dominican Republic",Female,2573.78,56588.5,0.0,3832.15,Fixed Deposits,Retirement Planning,High ROI Investments,Seeking Further Consultation,Satisfied,Satisfied,Low
Hannah Drake,70,"North Christopher, Mauritania",Non-binary,2427.82,29633.02,3380.22,2098.56,Mutual Funds,Retirement Planning,High ROI Investments,Implemented,Very Unsatisfied,Very Satisfied,High
Xavier Brown,39,"New Bethside, Russian Federation",Male,7670.52,24147.79,0.0,4639.97,Bonds,Tax Planning,High ROI Investments,Implemented,Very Unsatisfied,Satisfied,Low
Alison Black,23,"Harveystad, Samoa",Female,6482.74,41461.25,1377.6,2746.35,Fixed Deposits,Investment Strategy,Increase Savings,Seeking Further Consultation,Neutral,Neutral,High
Karen Diaz,27,"Nancyville, Namibia",Non-binary,5244.63,61496.79,4329.49,4079.0,Fixed Deposits,Tax Planning,Tax Savings,Not Implemented,Very Unsatisfied,Neutral,Low
James Owens,42,"Edwardsfurt, Namibia",Male,8762.42,37578.08,0.0,1979.94,Stocks,Savings Plan,High ROI Investments,Partially Implemented,Unsatisfied,Satisfied,High
William Sanchez,70,"West Kelsey, Martinique",Female,9228.68,37179.92,3350.7,3051.92,Bonds,Tax Planning,Tax Savings,Seeking Further Consultation,Satisfied,Very Satisfied,High
Daniel Pope,21,"Kellymouth, Belgium",Male,7079.32,8251.71,0.0,2157.09,Gold,Investment Strategy,High ROI Investments,Implemented,Neutral,Neutral,Moderate
Sharon Fields,35,"Harrisbury, Liberia",Female,7762.43,21552.57,1960.89,1338.77,Cryptocurrency,Debt Management,Increase Savings,Partially Implemented,Unsatisfied,Satisfied,Moderate
Regina Miller,25,"Samuelfurt, Samoa",Non-binary,6881.67,15489.16,0.0,3953.21,Bonds,Retirement Planning,Increase Savings,Implemented,Neutral,Satisfied,Moderate
Karen Pacheco,55,"Frostland, Ecuador",Non-binary,7912.15,26370.19,0.0,644.41,Gold,Savings Plan,Tax Savings,Implemented,Satisfied,Neutral,Moderate
Courtney Perez,34,"New Jasmine, India",Female,3872.3,35506.87,0.0,2505.08,Stocks,Savings Plan,Increase Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
Lisa Diaz,25,"New Samantha, Turks and Caicos Islands",Male,6055.22,40426.88,403.89,1673.62,Cryptocurrency,Tax Planning,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Neutral,Moderate
