Name,Age,Nationality,Travel Preference,Loyalty Program Status,Past Travel Detail,Payment Detail,Booking Pattern,User Feedback
Christopher Archer,27,Lesotho,Business,Bronze,"{'destination': 'South Michaelville', 'duration': '14 days', 'hotel_stay': 'Johnson, Harrison and Brown', 'activity': 'Beach'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 3, 25), 'amount': '$8182'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'About important important month could stock eye.'}"
Lisa Hanna,20,Grenada,Budget,Bronze,"{'destination': 'Richardsonshire', 'duration': '4 days', 'hotel_stay': 'Davis-Fletcher', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 4, 13), 'amount': '$7466'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'Value improve experience sit audience total.'}"
Jason Smith,36,Guatemala,Adventure,Bronze,"{'destination': 'West Teresamouth', 'duration': '1 days', 'hotel_stay': 'Kent Inc', 'activity': 'Shopping'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 1, 4), 'amount': '$8384'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Media risk live require lot pass film try.'}"
Patrick Gross,60,Paraguay,Luxury,Platinum,"{'destination': 'West Melissaborough', 'duration': '3 days', 'hotel_stay': 'Shaw-Simmons', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 3, 24), 'amount': '$3948'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Writer social open eye memory husband church stay.'}"
Sharon Wilson,31,French Guiana,Eco-friendly,Bronze,"{'destination': 'South Sherrihaven', 'duration': '7 days', 'hotel_stay': 'Young Group', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 4, 5), 'amount': '$8929'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 4, 'comments': 'Everything blue voice behind everything movie network.'}"
Jason Terrell,59,United States of America,Adventure,Bronze,"{'destination': 'Danielville', 'duration': '9 days', 'hotel_stay': 'Cruz, Smith and Joseph', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 1, 12), 'amount': '$9620'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 2, 'comments': 'Choice wrong buy structure.'}"
Maria Miller,35,Saint Lucia,Budget,Bronze,"{'destination': 'Brookebury', 'duration': '12 days', 'hotel_stay': 'Wiley, Rojas and Gibbs', 'activity': 'Beach'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 4, 28), 'amount': '$356'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 1, 'comments': 'Future see computer.'}"
Catherine Novak,58,China,Budget,Bronze,"{'destination': 'Youngchester', 'duration': '2 days', 'hotel_stay': 'Olson, Bush and Smith', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 11, 27), 'amount': '$8067'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 4, 'comments': 'Run option among statement amount.'}"
Matthew Smith,59,Christmas Island,Adventure,Gold,"{'destination': 'Snyderland', 'duration': '8 days', 'hotel_stay': 'Sanchez PLC', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 3, 16), 'amount': '$9636'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 4, 'comments': 'Everybody on land foreign professor evidence.'}"
Matthew Pena,33,Heard Island and McDonald Islands,Cultural,Bronze,"{'destination': 'Stacyborough', 'duration': '6 days', 'hotel_stay': 'Holmes Inc', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 9, 17), 'amount': '$2172'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 4, 'comments': 'Place weight picture south low.'}"
Laura Thompson,60,Guinea-Bissau,Budget,Silver,"{'destination': 'East Kevin', 'duration': '8 days', 'hotel_stay': 'Miller PLC', 'activity': 'Museum visit'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 11, 28), 'amount': '$4065'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Test opportunity discussion this.'}"
Derek Jones,19,Niger,Business,Silver,"{'destination': 'Brownfort', 'duration': '2 days', 'hotel_stay': 'Simon, Vasquez and Cunningham', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 5, 8), 'amount': '$4096'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 4, 'comments': 'Ago bank value might style several.'}"
Amanda Kline,60,Uruguay,Cultural,Silver,"{'destination': 'Ashleyton', 'duration': '14 days', 'hotel_stay': 'Baker-Reynolds', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 10, 27), 'amount': '$3044'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Something week consumer front.'}"
Jennifer Meyer,44,Saudi Arabia,Business,Platinum,"{'destination': 'New Shaunmouth', 'duration': '9 days', 'hotel_stay': 'Fisher, Robinson and Evans', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 11, 18), 'amount': '$8846'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Often east type write today factor ever.'}"
Lynn Vincent,21,Vietnam,Cultural,Platinum,"{'destination': 'Port Heidi', 'duration': '3 days', 'hotel_stay': 'Stevens-Bowers', 'activity': 'Shopping'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 8, 17), 'amount': '$8929'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Federal magazine happy deal.'}"
Greg Baird,39,Papua New Guinea,Business,Bronze,"{'destination': 'Salazarbury', 'duration': '13 days', 'hotel_stay': 'Walsh-Riggs', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 6, 1), 'amount': '$2659'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'Mrs nor middle military about rest have.'}"
Kelly Daniel,21,Gibraltar,Budget,Silver,"{'destination': 'Wangbury', 'duration': '6 days', 'hotel_stay': 'Murray PLC', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 12, 27), 'amount': '$7561'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'Animal party physical machine full add drug.'}"
Samantha Brooks,33,Wallis and Futuna,Eco-friendly,Bronze,"{'destination': 'Cordovatown', 'duration': '12 days', 'hotel_stay': 'Diaz, Smith and Snyder', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 2, 5), 'amount': '$9948'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'Learn peace community attack.'}"
Dr. Victor White MD,45,Syrian Arab Republic,Business,Platinum,"{'destination': 'Port Michaelmouth', 'duration': '8 days', 'hotel_stay': 'Mccarty-Rowland', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 8, 6), 'amount': '$9400'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Democrat too value owner sit art direction.'}"
Diana Allen,56,British Indian Ocean Territory (Chagos Archipelago),Eco-friendly,Gold,"{'destination': 'East Taylorstad', 'duration': '1 days', 'hotel_stay': 'Cox-Myers', 'activity': 'Shopping'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 8, 12), 'amount': '$604'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Red oil anything top industry away.'}"
Nathan Fox,24,Niger,Business,Platinum,"{'destination': 'Benderport', 'duration': '11 days', 'hotel_stay': 'Brown, Zhang and Lopez', 'activity': 'Hiking'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 5, 16), 'amount': '$6552'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Idea inside road.'}"
Steven May,30,Jamaica,Business,Platinum,"{'destination': 'West Dominiqueton', 'duration': '2 days', 'hotel_stay': 'Ferguson-Wright', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 1, 6), 'amount': '$7443'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Quite thank maybe range which trip.'}"
David Valenzuela,39,Gabon,Eco-friendly,Bronze,"{'destination': 'Hullton', 'duration': '11 days', 'hotel_stay': 'Jones Inc', 'activity': 'Sightseeing'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 8, 6), 'amount': '$4656'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Movement reflect soldier cause summer.'}"
Joseph Soto,58,Bolivia,Cultural,Silver,"{'destination': 'Tylertown', 'duration': '14 days', 'hotel_stay': 'Pena, Bass and Phillips', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 1, 1), 'amount': '$9695'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Paper middle color challenge.'}"
Heather Gonzalez,45,Tunisia,Luxury,Platinum,"{'destination': 'Hunterton', 'duration': '14 days', 'hotel_stay': 'Webb, Garcia and Martin', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 8, 8), 'amount': '$3134'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'To science morning fight six edge feel.'}"
Gabriel Olsen,39,Ghana,Luxury,Bronze,"{'destination': 'Sarahmouth', 'duration': '10 days', 'hotel_stay': 'Sullivan-Abbott', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 3, 9), 'amount': '$2717'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Off any nothing eight.'}"
Jessica Gutierrez DVM,47,Portugal,Business,Gold,"{'destination': 'Lake Markchester', 'duration': '2 days', 'hotel_stay': 'Greer Inc', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 3, 4), 'amount': '$6761'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Kitchen ok deal just call white.'}"
Michael Smith,45,Andorra,Business,Silver,"{'destination': 'Larsenbury', 'duration': '4 days', 'hotel_stay': 'Robinson, Mendoza and Mckinney', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 5, 30), 'amount': '$1628'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Image me detail about newspaper candidate continue alone.'}"
Jessica Evans,53,Belarus,Eco-friendly,Gold,"{'destination': 'Lewisburgh', 'duration': '11 days', 'hotel_stay': 'Greene-Leonard', 'activity': 'Hiking'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 6, 27), 'amount': '$9016'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Plant skill reduce task prepare.'}"
April Beck,19,Syrian Arab Republic,Cultural,Silver,"{'destination': 'Dawsonberg', 'duration': '6 days', 'hotel_stay': 'Reid Ltd', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 3, 25), 'amount': '$4773'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 4, 'comments': 'True similar affect nor rate senior military return.'}"
Cynthia Daniel,58,Denmark,Budget,Silver,"{'destination': 'Vazquezborough', 'duration': '1 days', 'hotel_stay': 'Love Ltd', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 8, 2), 'amount': '$6707'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Simple follow account require.'}"
James Taylor,21,Serbia,Eco-friendly,Gold,"{'destination': 'Tuckerton', 'duration': '9 days', 'hotel_stay': 'Mendez-Miller', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 12, 14), 'amount': '$715'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'Cold artist quickly world fear foot.'}"
Benjamin Gonzalez,55,Kuwait,Luxury,Bronze,"{'destination': 'Mackenziehaven', 'duration': '9 days', 'hotel_stay': 'King Ltd', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 3, 10), 'amount': '$3873'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'The fly other bring oil knowledge family.'}"
Elizabeth Vaughan,51,Oman,Adventure,Silver,"{'destination': 'New Joshua', 'duration': '13 days', 'hotel_stay': 'White and Sons', 'activity': 'Beach'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 5, 3), 'amount': '$1598'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'General low oil senior.'}"
Elaine Craig,20,Uruguay,Budget,Platinum,"{'destination': 'Turnerfurt', 'duration': '4 days', 'hotel_stay': 'Barnes and Sons', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 3, 10), 'amount': '$806'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Happen table experience majority life hit save site.'}"
Peter Atkinson,60,New Zealand,Luxury,Platinum,"{'destination': 'Nelsonfort', 'duration': '13 days', 'hotel_stay': 'Gray, Smith and Hernandez', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 2, 25), 'amount': '$7013'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 3, 'comments': 'Through base pick account ground.'}"
Angela Smith,27,Malaysia,Cultural,Silver,"{'destination': 'Valdezhaven', 'duration': '7 days', 'hotel_stay': 'Luna-Blackwell', 'activity': 'Hiking'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 4, 21), 'amount': '$9411'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'Ability me house.'}"
Henry Reynolds,54,Canada,Eco-friendly,Gold,"{'destination': 'West Tyler', 'duration': '14 days', 'hotel_stay': 'Jordan, Cisneros and Aguirre', 'activity': 'Local cuisine tasting'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 1, 17), 'amount': '$6985'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Answer despite pattern chance old.'}"
Jason Walker,24,Lebanon,Adventure,Platinum,"{'destination': 'West Pamelaborough', 'duration': '9 days', 'hotel_stay': 'Rodriguez Ltd', 'activity': 'Museum visit'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 1, 30), 'amount': '$5368'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'White contain step since whole month.'}"
Tiffany Oneal,50,Uzbekistan,Business,Platinum,"{'destination': 'North Christinafort', 'duration': '7 days', 'hotel_stay': 'Clark Inc', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2022, 3, 2), 'amount': '$3112'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 4, 'comments': 'Try activity summer million pass.'}"
Robin Blankenship,42,Uganda,Eco-friendly,Gold,"{'destination': 'Jacquelineside', 'duration': '8 days', 'hotel_stay': 'Murray-Henson', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 7, 28), 'amount': '$8119'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Particularly eye describe evidence.'}"
Tiffany Montgomery,30,Palestinian Territory,Eco-friendly,Platinum,"{'destination': 'Bettyfurt', 'duration': '5 days', 'hotel_stay': 'Moses-Stanley', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 6, 24), 'amount': '$3289'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 4, 'comments': 'Local voice if whatever compare.'}"
Sarah Schneider,32,Northern Mariana Islands,Budget,Gold,"{'destination': 'Joshuaberg', 'duration': '7 days', 'hotel_stay': 'Kim, Bruce and Price', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 9, 23), 'amount': '$6448'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Box happen will office drop next author.'}"
Vincent Rosario,26,Vietnam,Eco-friendly,Silver,"{'destination': 'Brownington', 'duration': '12 days', 'hotel_stay': 'Miller, Smith and Spencer', 'activity': 'Sightseeing'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 11, 9), 'amount': '$4648'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'Deep authority small finish mention.'}"
Elizabeth Richard,43,Denmark,Eco-friendly,Gold,"{'destination': 'Zacharyport', 'duration': '5 days', 'hotel_stay': 'Juarez, Brown and Miller', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 10, 4), 'amount': '$6345'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Social true senior area us character religious organization.'}"
Jacqueline Wright,34,Paraguay,Budget,Bronze,"{'destination': 'North Robertborough', 'duration': '7 days', 'hotel_stay': 'Romero PLC', 'activity': 'Shopping'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 10, 25), 'amount': '$346'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Value market he option.'}"
Mr. Chad Ayers,29,Palau,Adventure,Bronze,"{'destination': 'Brownmouth', 'duration': '10 days', 'hotel_stay': 'Garcia, Pierce and Mueller', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 12, 13), 'amount': '$1501'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 2, 'comments': 'Imagine share director wall pass year.'}"
Kristina Ellis,31,Lesotho,Business,Silver,"{'destination': 'North Ashleyberg', 'duration': '14 days', 'hotel_stay': 'Cisneros, Smith and Kennedy', 'activity': 'Local cuisine tasting'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 2, 9), 'amount': '$2086'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Pay major its family they list.'}"
Jeffrey Gray,42,Faroe Islands,Luxury,Silver,"{'destination': 'Aliceborough', 'duration': '3 days', 'hotel_stay': 'Clark PLC', 'activity': 'Museum visit'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 3, 18), 'amount': '$2113'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 4, 'comments': 'Include common anyone left doctor prevent laugh.'}"
Monica Nelson,48,Angola,Eco-friendly,Gold,"{'destination': 'East William', 'duration': '7 days', 'hotel_stay': 'Lewis Inc', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 8, 17), 'amount': '$5071'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Late success specific life significant provide source with.'}"
Daniel Garcia,23,Somalia,Cultural,Platinum,"{'destination': 'Turnerchester', 'duration': '7 days', 'hotel_stay': 'Ruiz, Johnson and Burton', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2022, 2, 27), 'amount': '$6715'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'South friend purpose talk right red.'}"
Alan Alvarez,33,Latvia,Luxury,Platinum,"{'destination': 'Mcconnelltown', 'duration': '2 days', 'hotel_stay': 'Levine Ltd', 'activity': 'Beach'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 8, 22), 'amount': '$4731'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 2, 'comments': 'Bed who culture friend letter save mean family.'}"
Brianna Nelson,53,Eritrea,Eco-friendly,Gold,"{'destination': 'East Carolineburgh', 'duration': '4 days', 'hotel_stay': 'Bell-Johnson', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 3, 16), 'amount': '$6130'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Morning simply deal chair.'}"
