Name,Age,Location,Allergens,Dietary Restriction,Dining Experience,User Interaction
Joseph Chavez,45,Johnsonmouth,"['Egg', 'Soy', 'Shellfish']",Halal,"{'restaurant_name': 'Castro Inc', 'meal_type': 'Drink', 'menu_selection': 'True TV read cell positive move everybody bank.', 'special_requests': 'Egg, Soy, Shellfish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Like hour dark care.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Jessica Walter,33,Spencerhaven,[],Keto,"{'restaurant_name': 'Bullock, Ross and Flores', 'meal_type': 'Main Course', 'menu_selection': 'Citizen president food road discussion age artist.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Listen may chance turn claim fine.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Jordan Hoffman,39,East Julia,['Milk'],Halal,"{'restaurant_name': 'Butler and Sons', 'meal_type': 'Dessert', 'menu_selection': 'Dream democratic under arm expect red because.', 'special_requests': 'Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Compare development even just.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Julia Martinez,54,Dylanfort,[],Kosher,"{'restaurant_name': 'Davis-Hicks', 'meal_type': 'Main Course', 'menu_selection': 'Star economic anything personal fight measure.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Able move save probably.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Gregory Rodriguez,23,Kirkside,"['Shellfish', 'Soy', 'Wheat']",Keto,"{'restaurant_name': 'Brown, Harrison and Charles', 'meal_type': 'Dessert', 'menu_selection': 'Most cultural third time continue person.', 'special_requests': 'Shellfish, Soy, Wheat', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Board although also one I after believe.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Ashley Beard,42,Browntown,"['Milk', 'Soy']",Halal,"{'restaurant_name': 'Wheeler, Willis and Smith', 'meal_type': 'Main Course', 'menu_selection': 'Often should interest travel official star group.', 'special_requests': 'Milk, Soy', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Election evening have trial.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Jonathan Brennan,36,Lake Robertstad,['Peanuts'],Vegan,"{'restaurant_name': 'Mason Ltd', 'meal_type': 'Dessert', 'menu_selection': 'Citizen mean stop couple capital.', 'special_requests': 'Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Drive age deep.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Mrs. Stephanie Walker,40,South Kathyberg,['Egg'],Gluten Free,"{'restaurant_name': 'Burke-Rivers', 'meal_type': 'Main Course', 'menu_selection': 'Prove school apply color suffer need.', 'special_requests': 'Egg', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Reflect red single list represent left activity among.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Jacob Hogan,18,South Jamestown,"['Wheat', 'Milk', 'Tree nuts']",Kosher,"{'restaurant_name': 'King-Schmidt', 'meal_type': 'Dessert', 'menu_selection': 'Month project something deep deep key near.', 'special_requests': 'Wheat, Milk, Tree nuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Receive financial police owner industry agree boy.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Steven Kim,21,Markbury,[],Vegetarian,"{'restaurant_name': 'Sparks Group', 'meal_type': 'Starter', 'menu_selection': 'Five book of east.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Tend PM population scene model include physical.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Betty Gentry,31,South Heidishire,[],Vegan,"{'restaurant_name': 'Beasley-Coleman', 'meal_type': 'Main Course', 'menu_selection': 'Organization against believe style wind suddenly.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Change I check generation staff area direction.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Most Details Public'}"
Daniel Malone,22,Port Cristian,['Egg'],Keto,"{'restaurant_name': 'Mccarthy-Thomas', 'meal_type': 'Starter', 'menu_selection': 'Voice hear nature scene oil identify.', 'special_requests': 'Egg', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Parent avoid health choice security money.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Brianna Cruz,38,Dakotaport,[],Gluten Free,"{'restaurant_name': 'Carpenter Group', 'meal_type': 'Dessert', 'menu_selection': 'Left continue have.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'First participant trade go off movement carry my.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Jessica Swanson,45,Port Cynthiaberg,['Egg'],Low Fat,"{'restaurant_name': 'Wagner-Walker', 'meal_type': 'Starter', 'menu_selection': 'Thank police process data.', 'special_requests': 'Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Reason from act wait discuss generation car.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Jamie Hogan,35,Nancystad,"['Fish', 'Egg']",Halal,"{'restaurant_name': 'Myers LLC', 'meal_type': 'Drink', 'menu_selection': 'Million note box.', 'special_requests': 'Fish, Egg', 'feedback': 'Satisfied'}","{'staff_interaction': 'Meet him fly different common.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Michelle Levine,44,Rachelside,['Peanuts'],Halal,"{'restaurant_name': 'Meza-Sanders', 'meal_type': 'Drink', 'menu_selection': 'Far report imagine agent.', 'special_requests': 'Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Care lay medical discussion.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Chad Thomas,38,Hernandezstad,"['Tree nuts', 'Wheat', 'Milk']",Vegetarian,"{'restaurant_name': 'Fisher LLC', 'meal_type': 'Starter', 'menu_selection': 'Simple daughter knowledge wear particular chance mission.', 'special_requests': 'Tree nuts, Wheat, Milk', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'At body then seek power could knowledge each.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Robert Vargas,51,Taylorport,['Wheat'],Gluten Free,"{'restaurant_name': 'Walker PLC', 'meal_type': 'Dessert', 'menu_selection': 'Party that act information position bag suffer speech.', 'special_requests': 'Wheat', 'feedback': 'Neutral'}","{'staff_interaction': 'Region gas magazine worry expect.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Maria Adams,56,West Stephaniemouth,"['Peanuts', 'Milk']",Low Fat,"{'restaurant_name': 'Cline-Williams', 'meal_type': 'Starter', 'menu_selection': 'Successful discuss teacher hour wear.', 'special_requests': 'Peanuts, Milk', 'feedback': 'Neutral'}","{'staff_interaction': 'Instead player grow president standard brother watch.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Margaret Jackson,41,Valenzuelamouth,[],Vegan,"{'restaurant_name': 'Zamora, Medina and Madden', 'meal_type': 'Starter', 'menu_selection': 'Fill north late network compare job.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Your pressure court too teach allow base.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Brenda Jones,36,East Angela,[],Keto,"{'restaurant_name': 'Gonzales Inc', 'meal_type': 'Dessert', 'menu_selection': 'Attention small already perform.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Identify yard kid few such mouth.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Terry Elliott,37,Lynchland,"['Wheat', 'Fish', 'Peanuts']",Gluten Free,"{'restaurant_name': 'Bowen, Mcguire and Colon', 'meal_type': 'Starter', 'menu_selection': 'Determine training specific more bed forget.', 'special_requests': 'Wheat, Fish, Peanuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Television open become someone different record.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
William Garcia,51,West Lauraland,[],Low Fat,"{'restaurant_name': 'Roberson, Wu and Smith', 'meal_type': 'Drink', 'menu_selection': 'Citizen side natural window quickly each game.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Most do enjoy blue.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Laura Brown,35,North Emilyville,['Shellfish'],Kosher,"{'restaurant_name': 'Nguyen, Jones and Frey', 'meal_type': 'Main Course', 'menu_selection': 'Work third than executive.', 'special_requests': 'Shellfish', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Just off debate.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Sierra Wilson,38,West Larryberg,"['Shellfish', 'Wheat']",Vegetarian,"{'restaurant_name': 'Johnson and Sons', 'meal_type': 'Drink', 'menu_selection': 'Foreign any trouble American.', 'special_requests': 'Shellfish, Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Three event center thought.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Richard Solomon,28,Daniellefort,['Milk'],Kosher,"{'restaurant_name': 'Johnson-Martin', 'meal_type': 'Starter', 'menu_selection': 'Long a rather police miss ready.', 'special_requests': 'Milk', 'feedback': 'Neutral'}","{'staff_interaction': 'Never inside that western direction woman.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Michelle Hanson,20,North Lisa,[],Keto,"{'restaurant_name': 'Serrano and Sons', 'meal_type': 'Main Course', 'menu_selection': 'Out through skin poor American.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Last wind hold exist.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Jennifer Walker,37,Port Patricia,['Egg'],Gluten Free,"{'restaurant_name': 'Beltran, Davenport and Bates', 'meal_type': 'Dessert', 'menu_selection': 'Question avoid live pull body seem.', 'special_requests': 'Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Guess our heavy foreign collection response human.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Ashley Ford,35,Robinsonville,['Egg'],Gluten Free,"{'restaurant_name': 'Ward and Sons', 'meal_type': 'Main Course', 'menu_selection': 'Idea population husband game.', 'special_requests': 'Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Hospital building soon boy you person American.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Thomas Ortega,52,Rebeccaborough,[],Gluten Free,"{'restaurant_name': 'Edwards Group', 'meal_type': 'Main Course', 'menu_selection': 'Soon group citizen pick cut.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Would member draw describe scene will million.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Mark Fuller,60,New Michael,['Milk'],Keto,"{'restaurant_name': 'Mcguire-Davidson', 'meal_type': 'Main Course', 'menu_selection': 'Know yes break company executive nice.', 'special_requests': 'Milk', 'feedback': 'Neutral'}","{'staff_interaction': 'Agree someone add heavy.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Sara Jenkins,52,North Kristi,"['Soy', 'Egg', 'Milk']",Kosher,"{'restaurant_name': 'Strong, Hardy and Delgado', 'meal_type': 'Starter', 'menu_selection': 'None you evening push.', 'special_requests': 'Soy, Egg, Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Evidence system senior music knowledge.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Edward Smith,34,New Todd,['Milk'],Vegan,"{'restaurant_name': 'Gregory, Nelson and Petersen', 'meal_type': 'Main Course', 'menu_selection': 'Consumer language firm son throw whatever.', 'special_requests': 'Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Arrive population produce example early senior bar.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Megan Gordon,58,Pearsonville,"['Fish', 'Shellfish']",Gluten Free,"{'restaurant_name': 'Lucas PLC', 'meal_type': 'Starter', 'menu_selection': 'Bed recognize report relationship sense recognize score.', 'special_requests': 'Fish, Shellfish', 'feedback': 'Satisfied'}","{'staff_interaction': 'Animal read call report director window.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Isaac Owens,53,Floydside,"['Soy', 'Fish']",Gluten Free,"{'restaurant_name': 'Sampson, Cox and Ayala', 'meal_type': 'Starter', 'menu_selection': 'Do himself that also what share.', 'special_requests': 'Soy, Fish', 'feedback': 'Satisfied'}","{'staff_interaction': 'Court skill charge first expect may.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Lacey Hamilton,37,Sandraberg,"['Peanuts', 'Soy', 'Egg']",Kosher,"{'restaurant_name': 'Lopez, Nelson and Williams', 'meal_type': 'Starter', 'menu_selection': 'Better artist although wish raise step.', 'special_requests': 'Peanuts, Soy, Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Wish style loss begin get way.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Christopher Parker,39,Natashaland,[],Vegetarian,"{'restaurant_name': 'Ramsey-Bender', 'meal_type': 'Main Course', 'menu_selection': 'Congress song middle budget real pass.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Quality house market again ever film.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Jason Khan,50,Amyside,['Peanuts'],Gluten Free,"{'restaurant_name': 'Hicks, Beck and Lin', 'meal_type': 'Drink', 'menu_selection': 'Age back what whom.', 'special_requests': 'Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Father pressure region hard traditional them.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Louis Little,52,Jenniferberg,"['Fish', 'Peanuts']",Gluten Free,"{'restaurant_name': 'Nelson, Lee and Schneider', 'meal_type': 'Drink', 'menu_selection': 'Pick it third worry.', 'special_requests': 'Fish, Peanuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Someone commercial wall ten machine.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Matthew Lee,24,North Jasonmouth,[],Halal,"{'restaurant_name': 'Gordon, Hernandez and Kaufman', 'meal_type': 'Dessert', 'menu_selection': 'Morning majority government parent.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Open difficult activity candidate pass.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Howard Ho DVM,18,Martinezchester,"['Soy', 'Egg', 'Wheat']",Kosher,"{'restaurant_name': 'Robinson-Daugherty', 'meal_type': 'Main Course', 'menu_selection': 'Same blue apply technology force.', 'special_requests': 'Soy, Egg, Wheat', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Expect long opportunity degree finally region shake.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Jason Pierce,51,Reynoldstown,"['Soy', 'Tree nuts']",Vegetarian,"{'restaurant_name': 'Franklin, Scott and Wright', 'meal_type': 'Main Course', 'menu_selection': 'Within computer a memory so while pattern management.', 'special_requests': 'Soy, Tree nuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Such table old eye law eat man nothing.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Larry Irwin,33,Jeffreychester,['Fish'],Keto,"{'restaurant_name': 'Hill LLC', 'meal_type': 'Main Course', 'menu_selection': 'I story pass safe operation general behind.', 'special_requests': 'Fish', 'feedback': 'Neutral'}","{'staff_interaction': 'Sit training make especially house particular.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Holly Hoover,39,Kingport,"['Peanuts', 'Milk']",Halal,"{'restaurant_name': 'Clark, Hartman and Williams', 'meal_type': 'Drink', 'menu_selection': 'Level miss throughout adult.', 'special_requests': 'Peanuts, Milk', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Listen this allow.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Kim Bauer,44,New Nicole,[],Vegan,"{'restaurant_name': 'Allen, Leach and Burgess', 'meal_type': 'Main Course', 'menu_selection': 'Score measure brother current record.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'House try stand put seat data body son.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Kimberly Howe,32,Port Lisaside,['Tree nuts'],Keto,"{'restaurant_name': 'Villegas PLC', 'meal_type': 'Dessert', 'menu_selection': 'Many statement eight capital career late give.', 'special_requests': 'Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Entire usually dog cold even develop cost.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Ashley Hernandez,22,Alexandermouth,[],Kosher,"{'restaurant_name': 'King, Caldwell and Bender', 'meal_type': 'Starter', 'menu_selection': 'Hospital case make hand chair record nice feeling.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Out beat agency.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Joseph Matthews,25,Sarahberg,"['Wheat', 'Fish', 'Shellfish']",Vegan,"{'restaurant_name': 'Butler Inc', 'meal_type': 'Starter', 'menu_selection': 'Society late someone money media manage.', 'special_requests': 'Wheat, Fish, Shellfish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Fish blood bed.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
James Liu,33,North Amanda,"['Soy', 'Milk', 'Tree nuts']",Keto,"{'restaurant_name': 'Shelton Inc', 'meal_type': 'Starter', 'menu_selection': 'Per scene should production.', 'special_requests': 'Soy, Milk, Tree nuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Argue each finally some by west medical.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Mathew Beard,34,South Stephanie,"['Egg', 'Soy', 'Fish']",Gluten Free,"{'restaurant_name': 'Fisher LLC', 'meal_type': 'Main Course', 'menu_selection': 'Present happy hundred alone represent customer approach themselves.', 'special_requests': 'Egg, Soy, Fish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'A particularly open wide government executive station.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Amy Perez,25,Hardingville,"['Milk', 'Tree nuts', 'Egg']",Gluten Free,"{'restaurant_name': 'Gonzalez, Hogan and Pruitt', 'meal_type': 'Drink', 'menu_selection': 'Table foreign investment wide.', 'special_requests': 'Milk, Tree nuts, Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Best civil likely learn responsibility.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
David Richardson,42,Shieldsborough,"['Soy', 'Tree nuts']",Keto,"{'restaurant_name': 'Marks Group', 'meal_type': 'Dessert', 'menu_selection': 'Road far better where benefit toward side.', 'special_requests': 'Soy, Tree nuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Wide sometimes city effort buy open give.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Amy Pena,57,New Lisa,"['Soy', 'Fish']",Gluten Free,"{'restaurant_name': 'Patterson-Jarvis', 'meal_type': 'Main Course', 'menu_selection': 'Management center politics almost mean couple.', 'special_requests': 'Soy, Fish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Culture team discussion ball chair ago through source.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Melissa Warren,53,Devinborough,[],Low Fat,"{'restaurant_name': 'Hughes Group', 'meal_type': 'Dessert', 'menu_selection': 'Live leave or blue.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Amount well onto amount inside.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Colin Henderson,55,Port James,"['Soy', 'Wheat']",Vegan,"{'restaurant_name': 'Little-Martinez', 'meal_type': 'Drink', 'menu_selection': 'Wind fly never require never.', 'special_requests': 'Soy, Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Perhaps wrong suffer show.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Laura Jones,56,New Elizabeth,"['Fish', 'Peanuts', 'Egg']",Vegan,"{'restaurant_name': 'Dunn Inc', 'meal_type': 'Dessert', 'menu_selection': 'Carry follow around they business guy within.', 'special_requests': 'Fish, Peanuts, Egg', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Religious available interview fast heart way too.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
